,uni_id,date,exchange,type,open,high,low,close,close_adj,volume,listed_date,de_listed_date
98841,IF2202,2022-02-11,ZJS,2,4619.6,4667.6,4595.2,4595.2,4603.2,64200,2021-12-20,2022-02-18
98842,IF2202,2022-02-14,ZJS,2,4581.0,4599.6,4530.6,4552.6,4544.2,56775,2021-12-20,2022-02-18
98843,IF2202,2022-02-15,ZJS,2,4555.4,4599.4,4549.6,4591.2,4584.0,51003,2021-12-20,2022-02-18
98844,IF2202,2022-02-16,ZJS,2,4619.0,4638.6,4602.0,4612.4,4611.2,40895,2021-12-20,2022-02-18
98845,IF2202,2022-02-17,ZJS,2,4611.0,4652.6,4602.8,4623.8,4627.0,33686,2021-12-20,2022-02-18
98846,IF2202,2022-02-18,ZJS,2,4601.6,4639.6,4598.4,4636.4,4636.21,16101,2021-12-20,2022-02-18
98847,IF2203,2021-07-19,ZJS,2,4979.6,5024.4,4948.0,5018.0,5013.2,518,2021-07-19,2022-03-18
98848,IF2203,2021-07-20,ZJS,2,4998.6,5022.4,4983.4,5006.4,5012.0,665,2021-07-19,2022-03-18
98849,IF2203,2021-07-21,ZJS,2,5025.8,5066.0,5018.0,5025.4,5033.4,891,2021-07-19,2022-03-18
98850,IF2203,2021-07-22,ZJS,2,5040.2,5055.0,5018.8,5020.4,5023.6,551,2021-07-19,2022-03-18
98851,IF2203,2021-07-23,ZJS,2,5020.2,5021.8,4962.8,4977.8,4972.8,923,2021-07-19,2022-03-18
98852,IF2203,2021-07-26,ZJS,2,4952.6,4954.4,4754.8,4783.2,4782.2,1978,2021-07-19,2022-03-18
98853,IF2203,2021-07-27,ZJS,2,4778.8,4809.6,4591.0,4610.6,4660.4,1806,2021-07-19,2022-03-18
98854,IF2203,2021-07-28,ZJS,2,4617.0,4662.0,4563.0,4628.0,4638.4,1902,2021-07-19,2022-03-18
98855,IF2203,2021-07-29,ZJS,2,4719.6,4719.6,4664.4,4702.2,4700.0,1218,2021-07-19,2022-03-18
98856,IF2203,2021-07-30,ZJS,2,4675.4,4688.0,4627.4,4670.6,4670.2,1343,2021-07-19,2022-03-18
98857,IF2203,2021-08-02,ZJS,2,4670.6,4803.8,4636.4,4784.0,4794.8,1527,2021-07-19,2022-03-18
98858,IF2203,2021-08-03,ZJS,2,4775.0,4815.8,4755.0,4797.4,4798.4,1372,2021-07-19,2022-03-18
98859,IF2203,2021-08-04,ZJS,2,4791.4,4838.0,4786.0,4814.4,4815.2,1177,2021-07-19,2022-03-18
98860,IF2203,2021-08-05,ZJS,2,4788.2,4828.4,4771.0,4782.4,4789.4,1422,2021-07-19,2022-03-18
98861,IF2203,2021-08-06,ZJS,2,4784.8,4784.8,4746.8,4774.2,4765.8,1118,2021-07-19,2022-03-18
98862,IF2203,2021-08-09,ZJS,2,4760.6,4854.8,4735.0,4826.6,4828.8,1339,2021-07-19,2022-03-18
98863,IF2203,2021-08-10,ZJS,2,4815.4,4894.6,4790.0,4893.2,4876.0,1448,2021-07-19,2022-03-18
98864,IF2203,2021-08-11,ZJS,2,4889.6,4909.0,4850.0,4850.0,4856.0,1370,2021-07-19,2022-03-18
98865,IF2203,2021-08-12,ZJS,2,4849.0,4861.8,4817.8,4827.4,4830.6,1480,2021-07-19,2022-03-18
98866,IF2203,2021-08-13,ZJS,2,4814.6,4854.0,4781.0,4808.8,4802.4,1471,2021-07-19,2022-03-18
98867,IF2203,2021-08-16,ZJS,2,4808.6,4842.8,4795.0,4810.2,4805.0,1821,2021-07-19,2022-03-18
98868,IF2203,2021-08-17,ZJS,2,4809.8,4846.0,4702.2,4711.8,4720.6,2311,2021-07-19,2022-03-18
98869,IF2203,2021-08-18,ZJS,2,4725.0,4795.8,4707.0,4766.0,4767.6,2177,2021-07-19,2022-03-18
98870,IF2203,2021-08-19,ZJS,2,4754.0,4769.8,4705.0,4726.6,4728.4,2272,2021-07-19,2022-03-18
98871,IF2203,2021-08-20,ZJS,2,4712.2,4716.0,4601.0,4635.2,4631.8,3185,2021-07-19,2022-03-18
98872,IF2203,2021-08-23,ZJS,2,4655.0,4723.0,4642.8,4699.8,4703.0,2655,2021-07-19,2022-03-18
98873,IF2203,2021-08-24,ZJS,2,4708.0,4782.2,4708.0,4763.6,4766.8,3258,2021-07-19,2022-03-18
98874,IF2203,2021-08-25,ZJS,2,4764.2,4777.6,4735.4,4756.6,4755.6,2735,2021-07-19,2022-03-18
98875,IF2203,2021-08-26,ZJS,2,4750.4,4752.6,4667.4,4686.8,4686.0,2865,2021-07-19,2022-03-18
98876,IF2203,2021-08-27,ZJS,2,4690.0,4751.2,4680.0,4695.4,4697.0,4100,2021-07-19,2022-03-18
98877,IF2203,2021-08-30,ZJS,2,4712.0,4724.8,4653.0,4678.8,4666.2,2568,2021-07-19,2022-03-18
98878,IF2203,2021-08-31,ZJS,2,4669.0,4700.0,4608.0,4680.0,4666.4,2819,2021-07-19,2022-03-18
98879,IF2203,2021-09-01,ZJS,2,4672.2,4798.2,4639.8,4763.8,4757.4,4264,2021-07-19,2022-03-18
98880,IF2203,2021-09-02,ZJS,2,4767.2,4783.2,4736.0,4758.0,4756.8,2688,2021-07-19,2022-03-18
